1060,884.783,-3.72214
204,0.46,9.55,0.1
205,-0.47,9.59,-0.67
206,-0.01,9.69,-0.79
207,-0.94,9.7,0.27
208,0,9.57,0.15
209,-0.93,9.51,-0.61
210,0.47,9.83,-0.57
211,-0.6,14.17,0.81
212,0.08,14.21,0.56
213,-0.47,9.59,-0.44
214,-0.01,9.55,-0.5
215,-0.6,14.18,1.73
216,0.08,14.22,1.15
217,-0.93,9.51,-0.38
218,0.45,9.56,-0.33
219,-0.6,14.21,3.8
220,0.08,14.24,2.58
221,-0.46,9.46,-0.22
222,-0.09,4.53,-2.11
223,-0.9,9.48,-0.16
224,0.02,9.55,-0.27
225,-0.38,7.44,-2.08
226,0.03,10.31,-2.06
227,-0.42,9.46,0
228,0.48,9.51,-0.11
229,-0.48,11.19,-1.74
230,0.05,11.22,-1.42
231,-0.88,9.45,0.04
232,0.02,9.51,-0.05
233,-0.48,11.2,-1.2
234,0.5,9.72,-0.91
235,-0.42,9.6,0.21
236,0.49,9.55,0.1
237,-0.43,9.51,-0.66
238,0.02,9.66,-0.79
239,-0.9,9.65,0.27
240,0.03,9.59,0.15
241,-0.9,9.58,-0.61
242,-0.55,14.18,0.81
243,0.13,14.22,0.56
244,-0.43,9.56,-0.44
245,0.05,11.2,-0.58
246,-0.55,14.18,1.73
247,0.13,14.23,1.15
248,-0.9,9.49,-0.38
249,0.48,9.55,-0.33
250,-0.55,14.23,3.8
251,0.13,14.23,2.58
252,-0.43,9.45,-0.22
253,-0.07,4.53,-2.12
254,-0.86,9.49,-0.16
255,-0.35,7.44,-2.08
256,0.07,10.27,-2.05
257,-0.39,9.5,0
258,0.53,9.57,-0.11
259,-0.44,11.19,-1.74
260,0.09,11.21,-1.42
261,-0.85,9.43,0.04
262,0.06,9.54,-0.05
263,-0.44,11.19,-1.2
264,0.53,9.72,-0.91
265,-0.39,9.65,0.21
266,0.53,9.57,0.1
267,-0.4,9.57,-0.67
268,0.05,9.64,-0.78
269,-0.87,9.68,0.27
270,0.06,9.59,0.15
271,-0.87,9.56,-0.61
272,0.52,9.59,-0.56
273,-0.5,14.18,0.81
274,0.25,17.23,0.69
275,-0.4,9.54,-0.44
276,0.05,9.54,-0.5
277,-0.5,14.18,1.73
278,0.18,14.23,1.15
279,-0.87,9.56,-0.39
280,0.52,9.55,-0.33
281,-0.5,14.21,3.8
282,0.18,14.25,2.59
283,-0.4,9.47,-0.22
284,-0.05,4.53,-2.12
285,-0.83,9.49,-0.16
286,0.08,9.58,-0.27
287,-0.32,7.44,-2.08
288,0.1,10.26,-2.05
289,-0.35,9.5,0
290,0.55,9.55,-0.11
291,-0.4,11.2,-1.74
292,0.13,11.2,-1.42
293,-0.82,9.45,0.04
294,0.09,9.54,-0.05
295,-0.4,11.18,-1.2
296,0.56,9.69,-0.9
297,-0.36,9.58,0.21
298,0.56,9.55,0.1
299,-0.37,9.54,-0.66
300,0.09,9.66,-0.78
301,-0.83,9.67,0.27
302,0.09,9.58,0.15
303,-0.83,9.55,-0.61
304,-0.45,14.18,0.81
305,0.32,17.28,0.69
306,-0.36,9.52,-0.44
307,0.08,9.54,-0.5
308,-0.45,14.18,1.73
309,0.23,14.23,1.15
310,-0.83,9.55,-0.39
311,0.56,9.64,-0.33
312,-0.45,14.25,3.81
313,0.23,14.25,2.59
314,-0.36,9.46,-0.22
315,-0.04,4.54,-2.12
316,-0.8,9.47,-0.16
317,0.12,9.54,-0.27
318,-0.3,7.43,-2.08
319,0.14,10.28,-2.06
320,-0.32,9.5,0
321,0.58,9.55,-0.11
322,-0.36,11.17,-1.74
323,0.17,11.2,-1.42
324,-0.78,9.42,0.04
325,0.13,9.54,-0.05
326,-0.36,11.17,-1.2
327,0.6,9.71,-0.91
328,-0.32,9.59,0.21
329,0.59,9.5,0.1
330,-0.33,9.53,-0.66
331,0.17,11.21,-0.91
332,-0.8,9.66,0.27
333,0.13,9.59,0.15
334,-0.8,9.56,-0.61
335,0.6,9.68,-0.56
336,-0.4,14.18,0.81
337,0.38,17.33,0.69
338,-0.33,9.51,-0.44
339,0.12,9.56,-0.5
340,-0.4,14.19,1.73
341,0.28,14.23,1.15
342,-0.8,9.51,-0.38
343,0.59,9.66,-0.33
344,-0.4,14.23,3.8
345,0.28,14.25,2.59
346,-0.33,9.46,-0.22
347,-0.01,4.52,-2.11
348,-0.75,9.49,-0.16
349,0.16,9.55,-0.27
350,-0.26,7.43,-2.08
351,0.19,10.27,-2.05
352,-0.29,9.52,0
353,0.63,9.57,-0.11
354,-0.31,11.18,-1.74
355,0.22,11.25,-1.43
356,-0.75,9.46,0.04
357,0.16,9.57,-0.05
358,-0.31,10.99,-1.18
359,0.64,9.74,-0.91
360,-0.29,9.61,0.21
361,0.62,9.49,0.1
362,-0.29,9.59,-0.67
363,0.17,9.73,-0.79
364,-0.76,9.63,0.27
365,0.16,9.56,0.15
366,-0.76,9.55,-0.61
367,0.64,9.68,-0.56
368,-0.35,14.18,0.81
369,0.44,17.39,0.69
370,-0.29,9.6,-0.44
371,0.16,9.54,-0.5
372,-0.35,14.19,1.73
373,0.33,14.23,1.15
374,-0.75,9.45,-0.38
375,0.63,9.63,-0.33
376,-0.35,14.24,3.81
377,0.33,14.25,2.59
378,-0.29,9.47,-0.22
379,0,4.53,-2.12
380,-0.72,9.52,-0.16
381,0.19,9.59,-0.27
382,-0.24,7.42,-2.08
383,0.22,10.28,-2.06
384,-0.26,9.52,0
385,0.66,9.59,-0.11
386,-0.27,11.17,-1.74
387,0.26,11.25,-1.43
388,-0.72,9.46,0.04
389,0.19,9.57,-0.05
390,-0.27,10.87,-1.17
391,0.72,10.21,-0.95
392,-0.26,9.63,0.21
393,0.66,9.55,0.1
394,-0.26,9.57,-0.66
395,0.2,9.7,-0.79
396,-0.73,9.7,0.27
397,0.19,9.6,0.15
398,-0.72,9.52,-0.61
